timestamp,node_id,incoming_tx,outgoing_tx,remaining_tx,missing_tx,tx_from_client,tx_from_node,tx_from_node_detail
0,0,3225,0,3225,0,914,2311,"[0, 177, 188, 39, 574, 770, 680, 44, 581, 447, 593, 333, 23, 302, 770, 391, 444, 319, 167, 694, 443, 589, 408, 488, 753, 230, 573, 12, 283]"
1,0,4651,1775,6101,0,130,4521,"[0, 1362, 1249, 1089, 695, 1507, 1226, 1095, 1173, 1222, 1300, 1416, 673, 1190, 1507, 975, 966, 170, 1083, 273, 1108, 1267, 654, 20, 457, 188, 326, 570, 736]"
2,0,4762,1586,9277,0,4555,207,"[0, 16, 34, 22, 21, 69, 65, 39, 27, 45, 55, 50, 40, 15, 69, 15, 58, 19, 0, 50, 14, 35, 27, 48, 62, 35, 67, 12, 4]"
3,0,3627,6348,6556,0,1329,2298,"[0, 254, 613, 271, 256, 766, 426, 166, 684, 555, 742, 714, 649, 161, 766, 508, 541, 148, 191, 346, 369, 538, 276, 58, 344, 84, 183, 72, 18]"
4,0,3782,2230,8108,0,2800,982,"[0, 62, 154, 229, 42, 327, 107, 114, 32, 325, 175, 214, 75, 65, 327, 278, 160, 52, 229, 52, 248, 14, 285, 276, 82, 73, 53, 240, 279]"
5,0,4119,6982,5245,0,2181,1938,"[0, 68, 417, 556, 458, 646, 421, 562, 632, 218, 332, 443, 143, 323, 646, 15, 153, 328, 385, 108, 551, 21, 325, 606, 446, 125, 358, 493, 596]"
6,0,4535,2409,7371,0,2509,2026,"[0, 556, 435, 101, 549, 675, 608, 82, 206, 56, 149, 296, 441, 512, 675, 607, 330, 290, 606, 632, 182, 89, 157, 599, 594, 532, 654, 367, 411]"
7,0,4313,6298,5386,0,1882,2431,"[0, 231, 31, 450, 258, 810, 200, 710, 432, 293, 326, 292, 89, 171, 810, 671, 74, 682, 231, 416, 57, 718, 118, 808, 496, 373, 522, 704, 235]"
8,0,3468,1880,6974,0,3222,246,"[0, 35, 73, 44, 42, 82, 61, 6, 73, 22, 0, 82, 67, 15, 82, 39, 61, 27, 60, 1, 5, 40, 10, 58, 30, 21, 47, 49, 7]"
9,0,4604,5797,5781,0,2058,2546,"[0, 513, 284, 568, 293, 848, 122, 586, 789, 190, 624, 52, 655, 823, 848, 711, 723, 132, 407, 6, 384, 302, 430, 837, 616, 21, 390, 320, 138]"
10,0,4691,1808,8664,0,2796,1895,"[0, 458, 189, 338, 208, 631, 82, 392, 500, 7, 343, 356, 106, 91, 631, 422, 198, 246, 414, 182, 384, 90, 409, 599, 155, 618, 96, 476, 156]"
11,0,3040,5148,6556,0,2771,269,"[0, 12, 67, 52, 81, 89, 47, 12, 15, 22, 40, 34, 12, 17, 89, 15, 19, 36, 37, 71, 47, 87, 10, 6, 5, 18, 78, 76, 59]"
12,0,3269,1435,8390,0,3237,32,"[0, 7, 7, 6, 7, 10, 9, 4, 3, 0, 0, 0, 5, 9, 10, 8, 2, 10, 6, 3, 7, 9, 8, 2, 7, 4, 1, 7, 0]"
13,0,3602,6144,5848,0,1152,2450,"[0, 743, 366, 44, 2, 816, 444, 138, 155, 639, 430, 129, 189, 255, 816, 109, 649, 661, 724, 517, 790, 761, 461, 645, 412, 699, 140, 254, 560]"
