timestamp,node_id,incoming_tx,outgoing_tx,remaining_tx,missing_tx,tx_from_client,tx_from_node,tx_from_node_detail
0,0,3061,0,3061,0,632,2429,"[0, 724, 706, 577, 304, 87, 347, 19, 79, 510, 354, 547, 794, 516, 725, 180, 787, 573, 638, 322, 491, 274, 537, 655, 696, 117, 459]"
1,0,4426,2241,5246,0,3752,674,"[0, 191, 64, 137, 27, 154, 62, 104, 185, 25, 121, 58, 99, 35, 131, 99, 81, 175, 147, 131, 35, 188, 171, 71, 208, 122, 162]"
2,0,3671,2103,6814,0,1169,2502,"[0, 7, 52, 241, 557, 465, 753, 264, 70, 530, 442, 821, 321, 574, 387, 328, 92, 206, 283, 348, 355, 275, 585, 10, 9, 666, 476]"
3,0,3726,1680,8860,0,2539,1187,"[0, 350, 281, 168, 158, 318, 307, 290, 202, 306, 68, 330, 12, 343, 360, 176, 88, 299, 77, 32, 184, 132, 264, 180, 8, 295, 355]"
4,0,4407,6773,6494,0,220,4187,"[0, 1004, 351, 154, 865, 710, 592, 1267, 587, 1161, 892, 352, 264, 649, 1188, 576, 1234, 1172, 877, 1122, 127, 1303, 1337, 1122, 1389, 723, 289]"
5,0,4069,557,10000,6,1610,2459,"[0, 801, 773, 66, 114, 434, 634, 41, 25, 137, 599, 128, 413, 308, 328, 216, 774, 765, 172, 189, 647, 721, 99, 337, 223, 662, 767]"
6,0,3021,6645,6376,0,47,2974,"[0, 876, 898, 249, 62, 896, 308, 199, 390, 498, 536, 738, 802, 627, 270, 460, 586, 295, 867, 719, 533, 910, 764, 150, 353, 3, 111]"
7,0,4478,4214,6640,0,3163,1315,"[0, 124, 192, 360, 185, 71, 45, 213, 168, 152, 30, 330, 139, 122, 208, 213, 430, 178, 217, 58, 305, 310, 106, 318, 166, 150, 302]"
8,0,4249,2981,7908,0,3794,455,"[0, 70, 18, 102, 89, 36, 91, 32, 135, 108, 134, 93, 6, 108, 6, 133, 101, 52, 50, 141, 121, 147, 139, 148, 46, 77, 45]"
9,0,4283,6567,5624,0,3915,368,"[0, 82, 2, 19, 98, 51, 28, 95, 52, 30, 62, 113, 47, 47, 2, 112, 121, 59, 121, 11, 36, 10, 103, 81, 121, 114, 60]"
10,0,3119,21,8722,0,1889,1230,"[0, 62, 318, 210, 180, 350, 315, 229, 24, 32, 247, 139, 259, 292, 67, 402, 159, 106, 107, 231, 124, 35, 336, 311, 165, 165, 204]"
11,0,4328,6401,6649,0,502,3826,"[0, 713, 700, 176, 269, 202, 167, 634, 1242, 104, 602, 524, 666, 982, 344, 788, 888, 45, 992, 4, 1217, 522, 415, 621, 834, 857, 565]"
12,0,4475,7150,3974,0,2219,2256,"[0, 335, 440, 181, 402, 185, 662, 534, 706, 381, 275, 606, 537, 269, 688, 248, 78, 78, 650, 648, 136, 328, 271, 118, 352, 688, 642]"
13,0,3078,643,6409,0,838,2240,"[0, 335, 473, 283, 299, 678, 423, 746, 394, 80, 230, 593, 522, 218, 706, 350, 190, 278, 268, 240, 508, 430, 266, 618, 347, 587, 96]"
14,0,3719,3066,7062,0,632,3087,"[0, 959, 546, 939, 902, 489, 817, 10, 2, 840, 296, 154, 816, 921, 376, 1017, 18, 342, 656, 113, 615, 862, 370, 374, 746, 423, 791]"
15,0,4949,7425,4586,0,3164,1785,"[0, 145, 226, 369, 209, 517, 140, 558, 110, 285, 73, 92, 424, 116, 446, 466, 16, 1, 280, 511, 198, 429, 59, 587, 135, 420, 153]"
16,0,3964,3723,4827,0,1206,2758,"[0, 307, 731, 254, 163, 239, 342, 601, 41, 57, 857, 35, 345, 638, 0, 466, 232, 890, 430, 624, 205, 404, 366, 828, 744, 620, 642]"
17,0,3948,1196,7579,0,146,3802,"[0, 804, 1062, 1056, 365, 135, 148, 274, 256, 501, 977, 595, 796, 898, 158, 1101, 1235, 1069, 1161, 117, 70, 1073, 547, 424, 320, 319, 973]"
18,0,3382,1325,9636,0,508,2874,"[0, 442, 261, 730, 792, 109, 844, 292, 181, 39, 852, 116, 23, 365, 450, 412, 794, 773, 250, 793, 593, 198, 262, 307, 138, 113, 131]"
19,0,4433,7177,6892,0,3702,731,"[0, 22, 122, 182, 235, 114, 103, 209, 33, 116, 0, 74, 169, 112, 238, 143, 19, 220, 84, 218, 19, 180, 150, 177, 29, 107, 22]"
20,0,3222,28,10000,86,14,3208,"[0, 845, 431, 769, 604, 243, 566, 658, 793, 876, 1009, 835, 506, 102, 800, 405, 228, 898, 690, 727, 250, 253, 423, 368, 177, 48, 245]"
21,0,4486,5286,9200,0,3875,611,"[0, 41, 71, 141, 170, 93, 14, 189, 193, 93, 34, 38, 185, 68, 121, 78, 179, 30, 169, 100, 178, 184, 85, 182, 37, 170, 125]"
22,0,3665,5557,7308,0,2236,1429,"[0, 446, 261, 449, 283, 114, 346, 281, 314, 96, 51, 68, 361, 427, 216, 441, 230, 452, 197, 136, 422, 236, 223, 8, 50, 445, 159]"
23,0,3315,706,9917,0,301,3014,"[0, 37, 277, 211, 786, 684, 977, 656, 291, 388, 589, 636, 485, 17, 880, 302, 732, 163, 225, 849, 499, 367, 100, 314, 571, 728, 204]"
24,0,3000,7047,5870,0,1564,1436,"[0, 331, 385, 444, 259, 30, 19, 217, 431, 79, 233, 246, 402, 55, 42, 186, 50, 9, 228, 93, 365, 370, 26, 243, 325, 442, 343]"
25,0,4446,309,10000,7,2952,1494,"[0, 289, 352, 44, 316, 465, 130, 106, 110, 196, 245, 325, 231, 195, 121, 474, 284, 129, 482, 104, 167, 29, 64, 433, 36, 31, 213]"
26,0,4657,6451,8206,0,1568,3089,"[0, 996, 840, 51, 726, 972, 963, 265, 935, 451, 163, 318, 675, 685, 245, 944, 513, 685, 737, 10, 23, 732, 927, 902, 305, 353, 807]"
27,0,3733,5032,6907,0,2663,1070,"[0, 146, 260, 109, 218, 244, 88, 221, 119, 100, 241, 32, 83, 58, 114, 226, 198, 161, 60, 232, 264, 269, 250, 258, 156, 291, 52]"
28,0,4864,6697,5074,0,3322,1542,"[0, 288, 141, 54, 224, 189, 343, 217, 492, 397, 166, 199, 503, 216, 95, 424, 281, 185, 64, 476, 398, 331, 122, 290, 56, 307, 349]"
29,0,4946,3437,6583,0,741,4205,"[0, 661, 1095, 405, 1224, 1226, 1117, 957, 836, 1019, 129, 689, 1102, 692, 569, 243, 866, 1327, 654, 1316, 354, 61, 1155, 509, 406, 272, 606]"
30,0,3191,478,9296,0,935,2256,"[0, 388, 258, 74, 651, 597, 60, 252, 599, 690, 341, 61, 305, 271, 596, 251, 156, 476, 372, 201, 153, 282, 162, 646, 494, 710, 449]"
31,0,3359,6718,5937,0,2075,1284,"[0, 222, 202, 191, 143, 34, 325, 121, 345, 383, 345, 317, 81, 351, 204, 167, 52, 317, 368, 68, 57, 112, 356, 346, 3, 60, 47]"
32,0,4710,3096,7551,0,4460,250,"[0, 25, 56, 15, 24, 47, 62, 70, 37, 39, 16, 64, 45, 76, 19, 41, 83, 76, 65, 26, 14, 26, 36, 78, 9, 25, 48]"
33,0,4248,7349,4450,0,1547,2701,"[0, 430, 495, 310, 736, 232, 522, 270, 740, 501, 99, 237, 708, 571, 464, 195, 649, 857, 243, 272, 67, 336, 594, 611, 287, 669, 775]"
34,0,4703,1382,7771,0,395,4308,"[0, 1155, 281, 857, 580, 1292, 507, 93, 127, 932, 1250, 1247, 620, 946, 917, 556, 1108, 606, 343, 637, 698, 1339, 280, 27, 280, 1199, 996]"
35,0,3235,5926,5080,0,2419,816,"[0, 69, 86, 139, 172, 104, 90, 225, 54, 33, 90, 247, 197, 160, 200, 70, 228, 165, 270, 51, 250, 204, 15, 88, 47, 237, 161]"
36,0,3636,1463,7253,0,3353,283,"[0, 20, 81, 91, 7, 32, 71, 71, 8, 42, 58, 20, 56, 6, 8, 8, 28, 6, 20, 52, 35, 10, 3, 52, 88, 79, 37]"
37,0,4332,7050,4535,0,1842,2490,"[0, 652, 513, 122, 725, 77, 225, 143, 647, 569, 127, 781, 308, 597, 643, 700, 17, 313, 43, 225, 79, 657, 289, 65, 382, 783, 48]"
38,0,3145,1200,6480,0,2055,1090,"[0, 264, 162, 335, 66, 236, 140, 78, 92, 91, 52, 194, 130, 229, 127, 155, 355, 209, 34, 355, 273, 141, 67, 104, 39, 109, 223]"
39,0,3745,3540,6685,0,150,3595,"[0, 343, 726, 415, 270, 199, 1193, 984, 1048, 180, 63, 491, 1154, 314, 364, 854, 994, 1123, 304, 1192, 729, 932, 257, 530, 1030, 928, 282]"
40,0,4904,6161,5428,0,3103,1801,"[0, 358, 166, 229, 436, 67, 246, 25, 222, 269, 583, 144, 495, 50, 304, 195, 578, 144, 599, 340, 116, 94, 195, 223, 513, 270, 262]"
41,0,3229,2931,5726,0,1519,1710,"[0, 234, 480, 558, 478, 547, 194, 384, 511, 445, 169, 508, 287, 478, 73, 215, 539, 466, 248, 445, 529, 201, 136, 70, 196, 285, 40]"
42,0,3907,3051,6582,0,1578,2329,"[0, 30, 292, 609, 680, 755, 403, 763, 569, 180, 659, 338, 61, 418, 94, 17, 70, 371, 472, 630, 122, 724, 32, 110, 185, 0, 744]"
43,0,4242,2551,8273,0,506,3736,"[0, 385, 246, 1047, 794, 1066, 676, 814, 677, 941, 803, 423, 497, 438, 1058, 513, 38, 680, 554, 714, 1030, 963, 503, 943, 623, 1133, 627]"
44,0,4943,5223,7993,0,4236,707,"[0, 41, 107, 44, 111, 49, 48, 5, 25, 21, 20, 169, 25, 91, 63, 224, 128, 57, 7, 83, 69, 187, 32, 225, 83, 102, 14]"
45,0,4419,6345,6067,0,2938,1481,"[0, 94, 387, 255, 249, 249, 405, 40, 240, 487, 260, 159, 370, 223, 3, 3, 20, 358, 18, 397, 273, 324, 88, 433, 63, 23, 22]"
46,0,4044,3810,6301,0,3140,904,"[0, 10, 292, 142, 288, 18, 285, 156, 227, 22, 164, 234, 198, 142, 170, 236, 23, 26, 231, 16, 225, 223, 140, 289, 168, 176, 161]"
47,0,3666,1174,8793,0,832,2834,"[0, 734, 190, 346, 374, 456, 844, 82, 363, 258, 617, 435, 689, 221, 25, 891, 458, 761, 763, 261, 509, 592, 383, 363, 335, 840, 546]"
